product_name,category,strain_1,strain_2,strain_3,strain_1_description,strain_2_description,gpt_description,gpt_description_short,effects
GLITTER BOMB,Flower,GRAPE GASOLINE,Blueberry Headband,,"Dank blueberry, grapes, and gas, plus a dazzling look describes Compound Genetics’ 2022 strain Glitter Bomb. Influential grower NorCal IC Mag and Compound crossed Grape Gas #10 to OGKB Blueberry Headband and selected a flawless pheno for 2022. It’s loud, big, blingy, dark, and dramatic-looking, with maximum-THC, indica hybrid effects that’ll sit you down and stoke up some hunger. Watch out for all of Compound’s Grape Gas crosses including GastroPop—they’ve tapped into a gusher.","Grape Gasoline is an indica-dominant hybrid weed strain made by crossing Grape Pie with Jet Fuel Gelato. The effects of Grape Gasoline are more calming than energizing. Consumers who have smoked this strain say it makes them feel uplifted, energetic, and euphoric. Grape Gasoline is best enjoyed during the afternoon or early evening hours. In terms of flavor, you can expect pungent grape notes with a hint of diesel. Grape Gasoline is 25% THC, making it an ideal strain choice for experienced cannabis consumers. The dominant terpenes in Grape Gasoline are myrcene followed by caryophyllene and limonene. The original breeder of this strain is Compound Genetics. Weed strains similar to Grape Gasoline include Desert Lime, Pancakes, and Nigerian Silver.","GLITTER BOMB is a potent indica-dominant hybrid that masterfully blends the best of Grape Gasoline and Blueberry Headband. This strain delivers a deeply calming experience, ideal for evening relaxation. Consumers often report feeling euphoric and uplifted, with a gentle surge of energy that gradually mellows into a serene, blissful state. Blueberry Gas boasts a rich flavor profile, combining the sweet, fruity notes of blueberries with the pungent, earthy diesel undertones inherited from Grape Gasoline. With THC levels around 20-25%, this strain is suited for experienced users seeking a balanced yet powerful high. The dominant terpenes include myrcene, caryophyllene, and limonene, contributing to its complex aroma and therapeutic effects. Whether you're winding down after a long day or looking for a creative boost, Blueberry Gas offers a versatile and delightful experience.","Glitter Bomb is a potent indica-dominant hybrid combining Grape Gasoline and Blueberry Headband. Ideal for evening relaxation, it delivers a euphoric, uplifting high that mellows into a serene state. With a rich flavor profile of sweet blueberries and earthy diesel, making it perfect for experienced users. Dominant terpenes myrcene, caryophyllene, and limonene add to its complex aroma and therapeutic benefits.","Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
BLACK CHERRY GELATO,Flower,ACAI BERRY GELATO,Black Cherry Funk,BLACK CHERRY GELATO FINAL,"Black Cherry Gelato is a hybrid weed strain made by crossing Acai with Black Cherry Funk. The effects of Black Cherry Gelato are more calming than energizing. Reviewers on Leafly who have smoked this strain say it makes them feel aroused, hungry, and focused. Black Cherry Gelato is 22% THC making it an ideal choice for new and experienced cannabis consumers. The dominant terpene of Black Cherry Gelato is pinene, which is often associated with pine forest aromas. Reviewers tell Leafly this strain tastes like berries with sweet apricot undertones. Medical marijuana patients often buy this strain during mild episodes of depression, stress, and cramps.","Acai Berry Gelato effects are mostly energizing.
Acai Berry Gelato is a sativa-dominant hybrid cannabis strain made by crossing Thin Mint Cookies and Sunset Sherbet; it’s a gorgeous, deep purple plant dripping with trichomes. The effects of Acai Berry Gelato are believed to be energetic and focusing. Reviewers on Leafly say Acai Berry Gelato makes them feel happy, talkative, and uplifted. Acai Berry Gelato has as much as 32% THC. The dominant terpene is limonene, with a nose that is earthy, tropical citrus, and flavors of sweet cream and berries. Medical marijuana patients say they often buy this strain during episodes of ADHD. The original breeder of Acai Berry Gelato is Sherbinski.","This balanced hybrid strain merges the vibrant energy of Acai Berry Gelato with the relaxing body effects of Black Cherry Funk. Delivering an uplifting and focused cerebral high alongside a soothing, body-relaxing finish, it's perfect for those seeking therapeutic relief from chronic pain, stress, or fatigue. The flavor profile is a mix of sweet cream and berries, with undertones of fresh blueberries, tropical citrus, and a hint of licorice. Aromas of earthy, tropical fruits are complemented by floral lavender and pine notes, creating a sensory delight. Dominant terpenes include limonene and myrcene, contributing to its energizing yet calming effects","More calming than energizing, this sweet berry, apricot and pine flavored hybrid strain is a cross between the vibrant Acai Berry Gelato and sedating Black Cherry Funk. Delivering an uplifting and focused cerebral high alongside a soothing, body-relaxing finish, it's ideal for those seeking focus, appetite, arousal, as well as relief from depression, stress and cramps.","Hungry ,Aroused ,Giggly | Talkative ,Happy ,Energetic | Body High, Euphoria, Relaxing, Sleepy, Uplifting"
SOUR GLUE,Flower,SOUR DIESEL,GG4,,"Sour Glue is a potent hybrid marijuana strain made by crossing Sour Diesel and GG4. This strain is known for its delicious flavor that is sweet, sour, and has a mellow finish of diesel. Sour Glue gives a heavy head high that will have you feeling euphoric from the very first hit. This strain is best smoked when you're at home with nothing to do, as the effects will eventually have you ""glued"" to the couch. Because of Sour Glue's potency, only consumers with a high THC tolerance should smoke this strain. Sour Glue buds are small and dense, with frosty trichomes and thick brown hairs. Medical marijuana patients say they choose this strain to help stimulate appetite.","Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular hybrid marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.","Diesel Glue is a powerful hybrid strain that expertly combines the energetic and cerebral effects of Sour Diesel with the heavy relaxation and euphoria of GG4. This strain delivers a robust high that starts with a stimulating, uplifting buzz and gradually transitions into a deeply relaxing body melt. With THC levels typically around 20-25%, Diesel Glue is ideal for seasoned users seeking a potent and balanced experience. The flavor profile is a tantalizing mix of diesel, earthy pine, and a hint of sour sweetness, complemented by the dominant terpene caryophyllene. The aroma is equally pungent, featuring strong diesel notes with underlying hints of earthy and piney scents. Diesel Glue is a great choice for alleviating symptoms of stress, pain, and anxiety, while also providing a touch of creative inspiration and mental clarity. Perfect for evening use or when winding down, Diesel Glue offers a comprehensive and satisfying high that caters to both recreational and medicinal needs.","Sour Glue is a potent hybrid that combines the energetic effects of Sour Diesel with the deep relaxation of GG4. It delivers a robust high, starting with an uplifting buzz that transitions into a calming body melt, ideal for seasoned users. The flavor profile includes diesel, earthy pine, and sour sweetness, with caryophyllene as the dominant terpene. Sour Glue is perfect for alleviating stress, pain, and anxiety while offering creative inspiration and mental clarity, making it an excellent choice for evening use.","Tingly ,Happy ,Euphoric | Energetic ,Talkative ,Uplifted | Relaxed ,Sleepy ,Hungry"
Z'erealz,Flower,Zerealz,CEREAL MILK,ZKITTLEZ,"Zereal is a hybrid weed strain made from a genetic cross between Cereal Milk and Zkittlez. This strain is 50% sativa and 50% indica. Zereal is 20% THC, making this strain an ideal choice for experienced cannabis consumers. We are still learning about Zereal’s effects, flavors, and medical uses. If you’ve smoked, dabbed, or consumed Zereal, please tell us about your experience by leaving a strain review.Helps with:
Anxiety
.Stress
.Depression","Cereal Milk is a hybrid marijuana strain.Cereal Milk has a loud flavor with a sweet milk and ice cream nose that will keep you dipping back into your stash. You can expect dense, quality nugs dripping with trichomes and a potent high.","Z'erealz is a balanced hybrid cannabis strain born from the cross of Cereal Milk and Zkittlez, making it 50% sativa and 50% indica. With a potent 20% THC content, Z'erealz is a top choice for seasoned consumers seeking a flavorful experience and potent effects. This strain features dense, trichome-rich buds with a loud, sweet milk and ice cream aroma, complemented by a tropical blend of fruit flavors. The effects of Z'erealz are calming and uplifting, leaving users focused, alert, and content while providing a relaxing body high that’s perfect for unwinding. Ideal for relieving anxiety, stress, and depression, Z'erealz offers a well-rounded experience for any time of day.","Z'erealz is a heavy indica-dominant hybrid strain born from a cross of Cereal Milk and Zkittlez. A top choice for seasoned consumers seeking a flavorful experience and potent effects, this strain features dense, trichome-rich buds with a loud, sweet milk and ice cream aroma, complemented by a tropical blend of fruity flavors. Enjoy creative, focused and energetic effects while unwinding with a relaxing body high. Ideal for relieving anxiety, cramps, and depression.","Relaxed ,Sleepy ,Hungry"
Lemon Jack,Flower,Jack Herer,Lemon Kush,FINAL,"While Lemon Jack has yet to earn the reputation of its father, Jack Herer, this sativa deserves some respect. A potent strain featuring a distinct, chemical-like lemon smell, Lemon Jack has strong psychoactive effects. Focused and energizing, this strain’s effects draw from both its Jack Herer and Lemon Kush heritage. Like a strong cup of coffee, Lemon Jack is a daytime strain. Patients who suffer from headaches and fatigue tend to find relief with this strain, though it may not be the best choice for those who suffer from anxiety.","Jack Herer, also known as ""JH,"" ""The Jack,"" ""Premium Jack,"" and ""Platinum Jack"" is a sativa-dominant marijuana strain that captures both cerebral elevation and heavy resin production. Jack Herer’s effects include feeling energetic, creative, and uplifted. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative. this spicy, pine-scented strain has taken home numerous awards for its quality and potency.","Lemon Jack is a potent sativa strain that inherits the best qualities of its parent strains, Jack Herer and Lemon Kush. With a distinct, chemical-like lemon aroma, this strain delivers strong psychoactive effects that are both focused and energizing, making it ideal for daytime use. Its lineage from Jack Herer provides a blissful, clear-headed, and creative experience, while the Lemon Kush influence adds uplifting and stress-relieving properties. Perfect for combating headaches and fatigue, Lemon Jack offers a powerful pick-me-up similar to a strong cup of coffee.","Lemon Jack is a potent sativa strain that inherits the best qualities of its parent strains, Jack Herer and Lemon Kush. With a distinct, chemical-like lemon aroma, it delivers psychoactive effects that are both focused and energizing, making it ideal for daytime use. Its lineage from Jack Herer provides a blissful, clear-headed, and creative experience, while the Lemon Kush influence adds uplifting and stress-relieving properties. Perfect for combating headaches and fatigue, Lemon Jack offers a powerful pick-me-up similar to a strong cup of coffee.","Helps with Stress, ,Depression ,Fatigue | Stress ,Anxiety ,Depression | Stress ,Anxiety ,Depression"
Pink Runtz,Flower,FINAL,,,,,Pink Runtz crosses Zkittlez with Gelato. The hype around this strain has been firmly established - and for good reason. Pink Runtz features an aroma that is sweet and fruity like candy. This strain produces uplifting yet relaxing effects that are known to be long-lasting.,,
Lemon Cherry Gelato,Flower,FINAL,,,,,"A Cross between Sunset Sherbert & Girl Scout Cookies. With aromas of lime, berries, and citrus with flavors of lemon, and sweet fruit, this strain is an ideal choice for those seeking tingly, relaxing & euphoric effects and relief from anxiety, pain, and stress.",,
Runtz,Flower,FINAL,,,,,"A Cross of Zkittlez & Gelato, this rare award winning Indica Strain is popular for it's fruity, candy flavored profile as well as it's creamy smoke & euphoric and uplifting high.",,
Cheetah Piss,Flower,London Pound Cake,Lemonnade,Gelato 42,"London Pound Cake, also known as “Pound Cake”, is an indica-dominant weed strain made from a genetic cross between Sunset Sherbert and an unknown heavy-hitting indica. London Pound Cake is a potent and delicious strain that offers a smooth and relaxing high. Bred by Cookies, London Pound Cake combines the best of both parents, delivering a sweet and spicy flavor with a diesel and nutty undertone. London Pound Cake is 20% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us London Pound Cake effects include sleepy, relaxed, and tingly. Medical marijuana patients often choose London Pound Cake when dealing with symptoms associated with anxiety, depression, and stress. Bred by Cookies, London Pound Cake features flavors like vanilla, butter, and lemon. The dominant terpene of this strain is myrcene. The average price of London Pound Cake typically ranges from $10-$20 per gram. If you’re looking for a tasty and soothing strain that can ease your mind and body, London Pound Cake might be the perfect choice for you. If you’ve smoked, dabbed, or consumed London Pound Cake, tell us about your experience by leaving a strain review","Lemonnade, also known as ""The Original Lemonnade"" or simply ""Lemonade,"" is a sativa-dominant hybrid marijuana strain made by crossing Lemon OG and Gorilla Haze. Lemonade tastes and smells just like freshly squeezed lemons. This strain is ideal for wake and bake enthusiasts, as Lemonade tends to make consumers feel energetic and motivated. Medical patients pick this theraputic strain for its ability to relieve anxiety, inflammation and cramping. Bred by Growing Passion, this strain produces dense, resinous buds with soft orange hairs that look beautiful against the buds light green coloration.","Cheetah Piss is a potent cannabis strain born from the cross of London Pound Cake, Lemonnade, and Gelato, blending a variety of effects and flavors. The strain offers a euphoric and relaxing high, with a sweet and creamy profile from Gelato, complemented by the zesty lemon notes of Lemonnade and the spicy, nutty undertones of London Pound Cake. Cheetah Piss boasts a THC content that provides a strong, uplifting experience, making it ideal for those seeking both relaxation and motivation. Its combination of invigorating and soothing effects makes it a favorite among cannabis enthusiasts for both recreational and medicinal use.","Cheetah Piss delivers a euphoric high. Savor the sweet, creamy flavors of Gelato, zesty lemon from Lemonnade, and spicy, nutty notes from London Pound Cake. This strain is the ideal choice for those looking to unwind while staying motivated and focused.",
LA KUSH CAKE,Flower,Wedding Cake,Kush Mints,,"Wedding Cake, also known as ""Triangle Mints #23,"" is a potent type of indica-hybrid marijuana strain made by crossing Triangle Kush with Animal Mints. Fun fact: In Canada, this strain is known as Pink Cookies. The Wedding Cake strain provides relaxing and euphoric effects that calm the body and mind. This strain yields a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019.","Kush Mints is a hybrid weed strain made from a genetic cross between Animal Mints and Bubba Kush. This strain is 50% sativa and 50% indica. Kush Mints is a potent and flavorful strain that has a minty and cookie-like aroma and flavor, with hints of gas and pine. It has a balanced high that is both relaxing and euphoric, with a pleasant body buzz and a creative mind. Kush Mints is 28% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Kush Mints effects include feeling relaxed, euphoric, and aroused. Medical marijuana patients often choose Kush Mints when dealing with symptoms associated with anxiety, stress, and depression. Bred by Mr. Nice Seeds, Kush Mints features flavors like mint, menthol, and pine. The dominant terpene of this strain is limonene","LA Kush Cake is a powerful cannabis strain born from the cross of Wedding Cake and Kush Mints, blending sweet, earthy flavors with a minty twist. The strain delivers a balanced high that’s both relaxing and euphoric, with the calming effects of Wedding Cake paired with the creative buzz of Kush Mints. It boasts a sweet, minty aroma with hints of cookies, pine, and gas, creating a unique and flavorful experience. With its high THC content, LA Kush Cake is perfect for experienced users seeking relief from stress, anxiety, or pain.","LA Kush Cake: an indica dominant hybrid fusion of Wedding Cake and Kush Mints; its high is a perfect blend of relaxation and euphoria. The combination of a minty scent, creamy flavor, and earthy, piney undertones create a one-of-a-kind experience. This strain is perfect for easing stress or pain, providing soothing relief without dullness boosting the experience with a spark of creativity.",
